,BPA,PNW,CAISO
0,178.596294968,233.154432073,210.953555678
1,225.526174797,294.42059373,248.758852395
2,162.758372103,212.478292563,258.588229541
3,131.100773942,171.149835433,136.855174114
4,129.0024317,168.410485249,81.6594409076
5,107.380383389,140.183268131,79.3911231046
6,146.938696806,191.825974943,61.2445806807
7,166.845578138,217.814070677,54.4396272718
8,116.467118173,152.045846178,60.4884747464
9,146.336563258,191.039899815,79.3911231046
10,185.110278586,241.658327135,95.2693477256
11,216.548919853,282.700939755,173.148258962
12,198.521422475,259.166347879,303.198479666
13,245.615517888,320.646890193,431.736488502
14,225.891103883,294.897002458,585.982099106
15,261.891358718,341.894724174,624.543501757
16,258.497517109,337.464121553,762.154781805
17,638.844859186,834.001121652,792.399019178
18,1603.31593685,2093.10174523,613.201912742
19,2044.30536246,2668.80595621,527.761942162
20,2270.95369865,2964.69151259,394.68729772
21,2763.64447025,3607.89095333,278.246983833
22,3999.16661499,5220.84414489,241.197793051
23,4303.90977546,5618.681169,187.514271714
24,551.110111695,719.464897774,1542.50008824
25,483.379553544,631.043803582,1834.28409138
26,472.517608888,616.863719175,1932.04292619
27,301.404591475,393.478578949,1776.07654088
28,183.799967842,239.947738698,1747.71901628
29,202.12688551,263.873218681,1514.88881428
30,157.628520389,205.781358211,1402.95121717
31,144.306061758,188.389114567,1458.92001572
32,143.262509454,187.026774744,1318.62489401
33,179.865660071,234.811566672,1317.87864336
34,164.170200385,214.321410424,1255.93983962
35,190.290329041,248.420795093,921.619549575
36,183.429910697,239.464635375,555.210481687
37,235.923033793,307.993516701,456.705396227
38,254.792454985,332.62722583,385.811584721
39,203.875435068,266.155920454,447.00413781
40,289.383735278,377.785555193,417.154111913
41,645.671223565,842.912824497,443.272884573
42,1238.14574749,1616.37826043,468.645406585
43,1713.64638459,2237.13627231,523.867954495
44,2325.16819234,3035.46761402,475.361662412
45,2849.97414839,3720.59288301,443.272884573
46,3688.52908496,4815.31212136,420.88536515
47,4483.32531459,5852.90511043,464.914153348
48,0.0178630205502,0.0233198701699,1494.87002034
49,0.36797822163,0.480389323277,1727.89611622
50,0.375123431554,0.489717273569,1756.83399741
51,0.543035826429,0.70892405539,1826.13260762
52,0.0,0.0,1602.24479001
53,0.0,0.0,1509.33896093
54,0.0,0.0,1405.01028401
55,0.00893151027509,0.011659935085,1358.55736947
56,0.0625205719256,0.0816195455948,1261.84392445
57,0.0625205719256,0.0816195455948,942.004185
58,0.0,0.0,777.51517614
59,0.0893151027509,0.11659935085,651.102326738
60,0.119682237739,0.156243130208,683.086300683
61,0.285808328803,0.373117922719,939.719615433
62,0.0893151027509,0.11659935085,766.092328303
63,0.0178630205502,0.0233198701699,846.813786354
64,0.366191921279,0.478057338484,787.414977599
65,0.634137229531,0.827855391033,730.300738412
66,0.125041143851,0.16323909119,568.096299119
67,0.0,0.0,384.56921053
68,0.0,0.0,217.795632102
69,0.0,0.0,126.412849402
70,0.0,0.0,174.388810319
71,0.0178630205502,0.0233198701699,178.196426265
72,1132.29318162,1478.18953214,1508.4459553
73,1147.11036177,1497.53310936,1821.32082835
74,1236.5440121,1614.28722206,2186.07132802
75,1474.31731704,1924.69623635,2338.45598122
76,1650.35412631,2154.50930327,2252.53697463
77,1748.28178302,2282.35219715,1751.61295508
78,1873.33456021,2445.60647546,1623.54500187
79,1997.84059355,2608.14698897,1433.06418537
80,1990.68064426,2598.79979668,1288.78509884
81,2000.45773668,2611.56362491,1101.546509
82,1955.73081965,2553.17339379,1103.978179
83,1645.52197427,2148.20101079,1287.97454217
84,1600.18786771,2089.01810406,1252.31004887
85,1715.41122038,2239.44023548,1779.98243839
86,1496.28114189,1953.36963693,1952.63100824
87,1711.87544842,2234.8243452,2029.6338915
88,1639.0201539,2139.71299464,1916.96651493
